prediction,actual
3.7142857142857144,4.375
3.5535714285714284,4.375
3.761904761904762,2.5
3.9464285714285716,4.375
3.3154761904761907,3.75
3.607142857142857,4.375
4.011904761904762,3.75
4.035714285714286,2.5
3.7857142857142856,3.125
4.0773809523809526,4.375
2.2797619047619047,0.0
4.011904761904762,5.0
4.059523809523809,4.375
3.880952380952381,3.75
4.095238095238095,4.375
3.9047619047619047,4.375
3.7023809523809526,3.75
2.25,0.0
3.0595238095238093,0.0
3.6964285714285716,0.0
3.8273809523809526,3.125
3.488095238095238,4.375
3.767857142857143,4.375
4.041666666666667,4.375
3.267857142857143,3.75
3.9761904761904763,4.375
3.517857142857143,5.0
3.9702380952380953,3.75
3.9583333333333335,4.375
4.035714285714286,3.75
2.005952380952381,0.0
3.9583333333333335,3.75
3.982142857142857,3.75
4.0773809523809526,4.375
3.9107142857142856,5.0
3.9702380952380953,4.375
3.9523809523809526,4.375
3.494047619047619,3.75
3.5595238095238093,2.5
3.7142857142857144,0.0
3.1011904761904763,3.75
3.863095238095238,4.375
3.1845238095238093,2.5
4.0,4.375
3.9166666666666665,1.875
3.767857142857143,4.375
3.744047619047619,4.375
3.886904761904762,0.0
4.011904761904762,5.0
3.8452380952380953,4.375
3.767857142857143,5.0
3.9107142857142856,4.375
3.5357142857142856,3.125
2.625,3.75
3.6785714285714284,3.75
3.5595238095238093,4.375
2.3511904761904763,0.0
3.607142857142857,3.75
3.9702380952380953,5.0
3.869047619047619,4.375
3.869047619047619,3.75
4.0476190476190474,5.0
3.6607142857142856,3.75
3.3214285714285716,4.375
3.9047619047619047,4.375
3.6964285714285716,5.0
4.101190476190476,2.5
3.755952380952381,4.375
3.5714285714285716,4.375
3.9345238095238093,0.0
3.863095238095238,3.75
3.5773809523809526,4.375
3.9523809523809526,4.375
3.625,4.375
3.75,4.375
3.357142857142857,3.75
3.2083333333333335,4.375
3.767857142857143,0.0
3.3214285714285716,5.0
3.8273809523809526,4.375
3.9464285714285716,2.5
2.738095238095238,2.5
3.107142857142857,5.0
3.7916666666666665,3.75
3.5654761904761907,4.375
3.732142857142857,4.375
3.488095238095238,4.375
3.5297619047619047,3.75
3.8452380952380953,1.25
3.9583333333333335,4.375
3.5297619047619047,0.0
3.517857142857143,5.0
4.017857142857143,4.375
3.9761904761904763,1.875
3.8511904761904763,3.75
3.7976190476190474,3.75
3.875,0.0
3.9464285714285716,4.375
3.5416666666666665,4.375
3.6904761904761907,3.75
3.886904761904762,4.375
4.029761904761905,4.375
3.4107142857142856,2.5
3.8273809523809526,0.0
3.8392857142857144,4.375
4.208333333333333,3.75
3.5714285714285716,4.375
4.232142857142857,3.75
3.8333333333333335,5.0
4.035714285714286,3.75
4.035714285714286,5.0
3.613095238095238,4.375
4.017857142857143,3.75
4.071428571428571,4.375
4.125,3.75
3.761904761904762,5.0
4.005952380952381,3.75
3.642857142857143,5.0
3.9107142857142856,4.375
4.125,4.375
3.9642857142857144,0.0
3.642857142857143,3.125
3.9047619047619047,1.875
3.9285714285714284,3.125
3.892857142857143,3.75
3.9642857142857144,5.0
4.208333333333333,4.375
3.892857142857143,4.375
4.053571428571429,3.75
3.7797619047619047,0.0
3.0297619047619047,2.5
3.9166666666666665,5.0
3.886904761904762,3.75
4.119047619047619,3.125
2.9166666666666665,3.75
3.8214285714285716,3.125
3.9702380952380953,4.375
3.4047619047619047,3.75
3.2083333333333335,3.125
3.5654761904761907,3.125
3.7738095238095237,0.0
4.035714285714286,4.375
3.9226190476190474,3.75
4.065476190476191,4.375
3.5714285714285716,5.0
3.5654761904761907,0.0
3.8988095238095237,4.375
3.9583333333333335,4.375
3.8154761904761907,4.375
3.8214285714285716,4.375
3.5595238095238093,4.375
3.7083333333333335,5.0
3.4523809523809526,3.75
4.190476190476191,3.75
3.732142857142857,4.375
3.9047619047619047,3.75
3.7857142857142856,4.375
3.2261904761904763,3.75
2.9226190476190474,3.75
3.6547619047619047,3.125
4.107142857142857,4.375
3.8392857142857144,4.375
4.095238095238095,4.375
3.7202380952380953,4.375
4.083333333333333,3.75
3.1547619047619047,4.375
3.4464285714285716,5.0
2.6666666666666665,3.75
4.125,3.125
3.9166666666666665,4.375
3.6666666666666665,3.75
3.7023809523809526,0.0
3.9345238095238093,4.375
4.095238095238095,4.375
4.029761904761905,3.75
3.9166666666666665,3.75
4.065476190476191,3.125
3.4523809523809526,5.0
4.059523809523809,5.0
3.7738095238095237,4.375
3.5833333333333335,4.375
3.5,4.375
3.267857142857143,3.125
3.744047619047619,2.5
3.982142857142857,5.0
2.619047619047619,3.75
3.3392857142857144,3.75
3.9464285714285716,4.375
3.869047619047619,4.375
2.3035714285714284,3.75
3.2916666666666665,4.375
3.6845238095238093,4.375
3.875,2.5
3.8035714285714284,4.375
3.1964285714285716,3.75
3.7916666666666665,4.375
3.8452380952380953,3.75
2.892857142857143,0.0
4.142857142857143,5.0
3.75,5.0
3.5,3.75
3.8095238095238093,3.75
3.761904761904762,5.0
3.863095238095238,4.375
3.738095238095238,4.375
3.511904761904762,2.5
3.1607142857142856,4.375
4.041666666666667,3.75
3.392857142857143,3.75
3.9166666666666665,4.375
3.607142857142857,0.0
3.6845238095238093,0.0
3.6964285714285716,2.5
2.613095238095238,4.375
3.75,4.375
3.9107142857142856,4.375
2.380952380952381,3.75
3.8333333333333335,3.75
3.5535714285714284,4.375
3.9523809523809526,5.0
3.6845238095238093,3.75
4.291666666666667,4.375
3.9523809523809526,4.375
3.880952380952381,4.375
3.6904761904761907,5.0
3.0297619047619047,0.0
3.5773809523809526,5.0
2.7738095238095237,4.375
3.5892857142857144,3.75
3.9523809523809526,2.5
4.029761904761905,4.375
4.125,5.0
4.041666666666667,4.375
3.744047619047619,3.75
3.9761904761904763,3.125
2.1011904761904763,4.375
2.1607142857142856,3.75
3.755952380952381,3.75
3.892857142857143,3.75
4.089285714285714,4.375
3.6785714285714284,3.75
3.886904761904762,3.125
3.517857142857143,4.375
4.083333333333333,3.75
3.994047619047619,4.375
4.142857142857143,5.0
3.9583333333333335,2.5
4.041666666666667,3.75
3.7738095238095237,4.375
3.7261904761904763,4.375
3.5416666666666665,3.75
3.892857142857143,4.375
3.8452380952380953,3.75
4.125,5.0
4.017857142857143,4.375
3.8095238095238093,3.75
3.9583333333333335,4.375
4.023809523809524,4.375
3.363095238095238,3.125
3.994047619047619,3.125
3.857142857142857,4.375
3.8035714285714284,4.375
3.8392857142857144,4.375
3.982142857142857,0.0
3.9642857142857144,3.75
3.642857142857143,5.0
4.125,4.375
4.107142857142857,3.75
2.2797619047619047,3.125
3.9107142857142856,5.0
2.5416666666666665,2.5
2.4464285714285716,2.5
4.0773809523809526,3.75
4.041666666666667,4.375
3.9702380952380953,4.375
3.4285714285714284,4.375
3.8511904761904763,0.0
3.5714285714285716,4.375
3.5535714285714284,3.75
3.392857142857143,3.75
3.857142857142857,3.75
3.8392857142857144,0.0
3.6607142857142856,3.75
4.0,3.75
4.059523809523809,4.375
4.017857142857143,2.5
3.8511904761904763,4.375
3.9047619047619047,5.0
3.6904761904761907,3.75
3.8511904761904763,4.375
3.9464285714285716,4.375
3.9404761904761907,0.0
3.9702380952380953,4.375
3.7976190476190474,3.75
3.8154761904761907,0.0
3.8035714285714284,3.75
3.642857142857143,3.75
3.857142857142857,4.375
3.880952380952381,4.375
3.7083333333333335,3.75
3.4642857142857144,5.0
3.511904761904762,3.125
4.065476190476191,4.375
4.196428571428571,4.375
3.6964285714285716,4.375
3.6964285714285716,4.375
3.7797619047619047,3.75
2.386904761904762,0.0
3.8333333333333335,5.0
3.767857142857143,4.375
3.613095238095238,3.75
3.5952380952380953,0.0
2.9761904761904763,4.375
3.869047619047619,3.125
3.7202380952380953,4.375
3.75,3.75
3.6011904761904763,3.75
3.613095238095238,0.0
4.023809523809524,4.375
3.357142857142857,4.375
3.2797619047619047,3.125
3.6488095238095237,4.375
3.9583333333333335,4.375
3.880952380952381,4.375
4.0476190476190474,4.375
4.017857142857143,4.375
3.857142857142857,5.0
3.886904761904762,5.0
4.059523809523809,0.0
3.636904761904762,4.375
3.9166666666666665,3.75
3.982142857142857,4.375
4.017857142857143,3.75
3.4464285714285716,3.75
4.113095238095238,3.75
3.7142857142857144,3.75
3.880952380952381,3.125
3.505952380952381,4.375
3.892857142857143,4.375
3.0714285714285716,3.125
4.053571428571429,3.75
4.101190476190476,3.75
3.511904761904762,3.75
3.380952380952381,3.125
3.886904761904762,5.0
4.083333333333333,4.375
3.988095238095238,3.75
3.4166666666666665,4.375
2.738095238095238,2.5
2.113095238095238,0.0
3.982142857142857,4.375
3.9166666666666665,4.375
3.7023809523809526,3.75
3.732142857142857,3.125
3.9285714285714284,3.75
4.226190476190476,4.375
4.214285714285714,3.75
4.071428571428571,4.375
2.0297619047619047,0.0
3.994047619047619,4.375
2.886904761904762,3.75
3.8035714285714284,4.375
3.6845238095238093,4.375
3.7202380952380953,4.375
3.238095238095238,3.125
3.755952380952381,3.75
3.732142857142857,4.375
3.994047619047619,2.5
3.625,3.75
4.071428571428571,3.75
4.059523809523809,3.125
4.095238095238095,2.5
4.041666666666667,3.75
3.9166666666666665,3.125
3.267857142857143,4.375
3.7916666666666665,4.375
3.8095238095238093,5.0
3.7142857142857144,4.375
3.607142857142857,4.375
4.071428571428571,4.375
3.7202380952380953,3.75
4.071428571428571,3.75
3.5714285714285716,3.75
4.017857142857143,4.375
3.0714285714285716,3.75
4.142857142857143,4.375
3.9761904761904763,3.75
3.3333333333333335,4.375
3.767857142857143,3.75
3.0714285714285716,4.375
3.988095238095238,4.375
3.488095238095238,4.375
3.625,5.0
3.6726190476190474,3.75
4.041666666666667,4.375
4.041666666666667,4.375
4.059523809523809,4.375
3.619047619047619,4.375
3.9702380952380953,4.375
3.7202380952380953,4.375
4.071428571428571,4.375
3.9702380952380953,3.75
3.5952380952380953,3.75
3.6488095238095237,4.375
3.607142857142857,3.125
3.7142857142857144,4.375
3.6607142857142856,3.75
4.142857142857143,3.125
3.8035714285714284,4.375
3.8452380952380953,3.75
4.071428571428571,4.375
4.136904761904762,5.0
3.880952380952381,3.75
3.9226190476190474,3.75
3.5714285714285716,4.375
4.071428571428571,4.375
3.9523809523809526,3.75
3.6607142857142856,4.375
3.5297619047619047,3.75
3.8511904761904763,4.375
3.8154761904761907,4.375
3.9285714285714284,4.375
4.238095238095238,3.125
3.988095238095238,1.875
4.041666666666667,2.5
3.8511904761904763,3.125
3.642857142857143,4.375
2.1547619047619047,3.125
3.994047619047619,3.75
3.6607142857142856,5.0
3.6666666666666665,3.75
3.8988095238095237,5.0
3.9404761904761907,4.375
3.9583333333333335,3.75
4.023809523809524,5.0
4.071428571428571,4.375
3.8035714285714284,3.75
3.9583333333333335,4.375
3.613095238095238,2.5
3.857142857142857,0.0
2.7916666666666665,3.75
3.5297619047619047,4.375
3.7738095238095237,0.0
3.6488095238095237,4.375
3.880952380952381,4.375
3.9404761904761907,4.375
4.160714285714286,0.0
3.2083333333333335,4.375
3.5773809523809526,3.75
3.9166666666666665,0.0
3.7261904761904763,4.375
3.880952380952381,3.75
3.5654761904761907,1.25
3.7142857142857144,3.75
3.6785714285714284,3.75
4.190476190476191,4.375
4.125,4.375
4.029761904761905,3.75
2.880952380952381,0.0
4.119047619047619,3.75
4.011904761904762,4.375
3.6726190476190474,4.375
3.761904761904762,3.75
4.083333333333333,0.0
3.5654761904761907,4.375
3.5595238095238093,4.375
3.9166666666666665,3.75
3.7797619047619047,3.75
3.7142857142857144,4.375
3.2083333333333335,3.75
3.9345238095238093,4.375
3.619047619047619,5.0
3.994047619047619,3.75
1.619047619047619,5.0
3.9345238095238093,0.0
2.1666666666666665,0.0
3.9761904761904763,5.0
3.6726190476190474,5.0
3.857142857142857,4.375
4.035714285714286,3.75
3.8095238095238093,5.0
4.005952380952381,1.25
3.744047619047619,5.0
3.9226190476190474,0.0
3.7857142857142856,4.375
3.9107142857142856,5.0
3.386904761904762,5.0
3.0297619047619047,2.5
3.9642857142857144,4.375
3.011904761904762,4.375
3.4761904761904763,0.0
3.9107142857142856,4.375
3.8214285714285716,4.375
3.375,5.0
3.982142857142857,3.75
3.8988095238095237,3.75
1.5476190476190477,0.0
4.0773809523809526,3.75
3.2023809523809526,5.0
3.7976190476190474,4.375
3.3333333333333335,3.75
3.3095238095238093,3.75
3.5833333333333335,4.375
4.005952380952381,5.0
3.6666666666666665,3.75
4.196428571428571,4.375
3.9761904761904763,3.75
2.744047619047619,3.125
2.25,0.0
4.011904761904762,4.375
3.732142857142857,4.375
3.7797619047619047,2.5
3.5773809523809526,0.0
3.869047619047619,3.75
4.059523809523809,3.75
3.5833333333333335,3.75
3.8095238095238093,0.0
3.9285714285714284,3.75
4.005952380952381,4.375
4.166666666666667,4.375
3.1488095238095237,2.5
3.8511904761904763,3.75
3.2261904761904763,3.125
3.119047619047619,5.0
3.8035714285714284,3.125
3.6726190476190474,4.375
4.190476190476191,4.375
4.005952380952381,4.375
4.142857142857143,3.125
3.7797619047619047,5.0
4.160714285714286,4.375
3.642857142857143,5.0
3.869047619047619,4.375
4.071428571428571,4.375
4.005952380952381,4.375
3.6726190476190474,4.375
2.886904761904762,5.0
3.761904761904762,4.375
3.8511904761904763,4.375
4.107142857142857,4.375
3.6011904761904763,3.75
3.9166666666666665,4.375
3.8035714285714284,3.75
3.3392857142857144,4.375
3.4404761904761907,3.125
3.6726190476190474,4.375
2.0952380952380953,0.0
3.880952380952381,3.125
3.0952380952380953,4.375
3.7261904761904763,3.75
3.9761904761904763,3.75
3.982142857142857,0.0
4.095238095238095,4.375
3.857142857142857,3.75
4.053571428571429,5.0
3.7976190476190474,0.0
3.5595238095238093,3.75
3.988095238095238,4.375
3.7261904761904763,4.375
3.642857142857143,3.75
3.9404761904761907,4.375
3.607142857142857,4.375
3.9166666666666665,4.375
2.1666666666666665,0.0
3.630952380952381,4.375
3.607142857142857,0.0
3.4345238095238093,0.0
3.8154761904761907,5.0
4.238095238095238,3.75
3.630952380952381,3.75
3.8452380952380953,4.375
3.6964285714285716,5.0
3.886904761904762,4.375
3.994047619047619,4.375
3.9107142857142856,3.125
3.0773809523809526,0.0
3.880952380952381,4.375
3.7976190476190474,3.75
3.642857142857143,4.375
3.7916666666666665,4.375
3.3392857142857144,3.75
4.208333333333333,5.0
3.994047619047619,4.375
3.869047619047619,4.375
4.136904761904762,0.0
4.017857142857143,5.0
3.732142857142857,4.375
3.9047619047619047,5.0
3.8214285714285716,5.0
3.9047619047619047,3.75
3.857142857142857,4.375
3.9107142857142856,4.375
4.017857142857143,4.375
3.6607142857142856,4.375
3.0476190476190474,5.0
3.8452380952380953,3.75
3.7857142857142856,4.375
2.9583333333333335,0.0
4.005952380952381,3.75
3.9107142857142856,4.375
3.6845238095238093,0.0
3.238095238095238,0.0
3.6726190476190474,3.75
3.494047619047619,3.75
3.7083333333333335,1.875
4.130952380952381,3.75
3.9285714285714284,4.375
3.5357142857142856,3.125
3.4107142857142856,3.75
4.029761904761905,4.375
3.4107142857142856,3.75
2.625,4.375
3.75,4.375
